"module name","licenses","repository","licenseUrl","parents"
"text-table@0.2.0","MIT","https://github.com/substack/text-table","https://github.com/substack/text-table/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"to-regex-range@5.0.1","MIT","https://github.com/micromatch/to-regex-range","https://github.com/micromatch/to-regex-range/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"type-check@0.4.0","MIT","https://github.com/gkz/type-check","https://github.com/gkz/type-check/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"type-fest@0.20.2","(MIT OR CC0-1.0)","https://github.com/sindresorhus/type-fest","https://github.com/sindresorhus/type-fest/raw/master/license","neighbourhood-calculator-js-excel-addin"
"upath@2.0.1","MIT","https://github.com/anodynos/upath","https://github.com/anodynos/upath/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"uri-js@4.4.1","BSD-2-Clause","https://github.com/garycourt/uri-js","https://github.com/garycourt/uri-js/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"util-deprecate@1.0.2","MIT","https://github.com/TooTallNate/util-deprecate","https://github.com/TooTallNate/util-deprecate/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"uuid@9.0.0","MIT","https://github.com/uuidjs/uuid","https://github.com/uuidjs/uuid/raw/master/LICENSE.md","neighbourhood-calculator-js-excel-addin"
"vite-plugin-vuetify@1.0.2","MIT","https://github.com/vuetifyjs/vuetify-loader","https://github.com/vuetifyjs/vuetify-loader/raw/master/LICENSE.md","neighbourhood-calculator-js-excel-addin"
"vite@4.3.3","MIT","https://github.com/vitejs/vite","https://github.com/vitejs/vite/raw/master/LICENSE.md","neighbourhood-calculator-js-excel-addin"
"vue-demi@0.13.11","MIT","https://github.com/antfu/vue-demi","https://github.com/antfu/vue-demi/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"vue-demi@0.14.0","MIT","https://github.com/antfu/vue-demi","https://github.com/antfu/vue-demi/raw/master/LICENSE","@vueuse/shared:neighbourhood-calculator-js-excel-addin"
"vue-eslint-parser@9.1.0","MIT","https://github.com/vuejs/vue-eslint-parser","https://github.com/vuejs/vue-eslint-parser/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"vue-i18n@9.2.2","MIT","https://github.com/intlify/vue-i18n-next","https://github.com/intlify/vue-i18n-next/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"vue-router@4.1.6","MIT","https://github.com/vuejs/router","https://github.com/vuejs/router/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"vue@3.2.47","MIT","https://github.com/vuejs/core","https://github.com/vuejs/core/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"vuetify@3.3.8","MIT","https://github.com/vuetifyjs/vuetify","https://github.com/vuetifyjs/vuetify/raw/master/LICENSE.md","neighbourhood-calculator-js-excel-addin"
"webfontloader@1.6.28","Apache-2.0","https://github.com/typekit/webfontloader","https://github.com/typekit/webfontloader/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"which@2.0.2","ISC","https://github.com/isaacs/node-which","https://github.com/isaacs/node-which/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"word-wrap@1.2.3","MIT","https://github.com/jonschlinkert/word-wrap","https://github.com/jonschlinkert/word-wrap/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"wrappy@1.0.2","ISC","https://github.com/npm/wrappy","https://github.com/npm/wrappy/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
"xml-name-validator@4.0.0","Apache-2.0","https://github.com/jsdom/xml-name-validator","https://github.com/jsdom/xml-name-validator/raw/master/LICENSE.txt","neighbourhood-calculator-js-excel-addin"
"yallist@4.0.0","ISC","https://github.com/isaacs/yallist","https://github.com/isaacs/yallist/raw/master/LICENSE","neighbourhood-calculator-js-excel-addin"
